epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,distill/alpha,distill/temperature,distill/kd_loss
1,4.62334,1.72027,2.73967,1.64764,0.64583,0.53032,0.60137,0.44842,1.0897,1.11754,1.128,5.20625e-06,5.20625e-06,5.20625e-06,0.5,5.0,0.0
2,8.9236,1.66191,2.31207,1.60366,0.66605,0.52729,0.61264,0.45701,1.08973,1.10965,1.13007,1.10679e-05,1.10679e-05,1.10679e-05,0.5,5.0,0.0
3,13.0814,1.72496,2.50749,1.63764,0.61651,0.55922,0.62767,0.46428,1.09761,1.08736,1.13352,1.68354e-05,1.68354e-05,1.68354e-05,0.5,5.0,0.0
4,17.1725,1.67154,2.42472,1.62453,0.62164,0.56912,0.63015,0.46866,1.10029,1.08736,1.13364,2.25087e-05,2.25087e-05,2.25087e-05,0.5,5.0,0.0
5,21.2718,1.63191,2.30022,1.5747,0.64475,0.56319,0.63441,0.46903,1.10003,1.08938,1.13275,2.80877e-05,2.80877e-05,2.80877e-05,0.5,5.0,0.0
6,25.7341,1.63774,2.21831,1.56394,0.65537,0.57978,0.64717,0.47881,1.09654,1.09686,1.13275,3.35726e-05,3.35726e-05,3.35726e-05,0.5,5.0,0.0
7,29.9052,1.55086,2.03852,1.48216,0.67385,0.56611,0.65292,0.48289,1.08788,1.09866,1.12815,3.89632e-05,3.89632e-05,3.89632e-05,0.5,5.0,0.0
8,34.1382,1.56667,2.01847,1.52403,0.71495,0.5732,0.65955,0.49008,1.08058,1.09568,1.12617,4.42596e-05,4.42596e-05,4.42596e-05,0.5,5.0,0.0
9,38.3139,1.54916,1.95305,1.46578,0.7357,0.58203,0.66765,0.49803,1.07154,1.09337,1.1234,4.94619e-05,4.94619e-05,4.94619e-05,0.5,5.0,0.0
10,42.5883,1.55372,2.19892,1.54535,0.71308,0.60205,0.67877,0.50605,1.06428,1.07987,1.12193,5.45699e-05,5.45699e-05,5.45699e-05,0.5,5.0,0.0
11,46.6446,1.53065,2.00443,1.45914,0.75787,0.5801,0.691,0.51144,1.05933,1.03858,1.12044,5.95837e-05,5.95837e-05,5.95837e-05,0.5,5.0,0.0
12,50.7382,1.52214,1.94929,1.47315,0.68251,0.63003,0.6973,0.51759,1.05643,1.01204,1.11949,6.45033e-05,6.45033e-05,6.45033e-05,0.5,5.0,0.0
13,54.8178,1.53304,1.96808,1.50356,0.68718,0.63632,0.69988,0.52005,1.05169,1.00061,1.11471,6.93287e-05,6.93287e-05,6.93287e-05,0.5,5.0,0.0
14,58.9122,1.59892,2.09314,1.54434,0.70207,0.63832,0.70453,0.53103,1.04594,0.98962,1.10817,7.40598e-05,7.40598e-05,7.40598e-05,0.5,5.0,0.0
15,63.0369,1.5141,1.86959,1.464,0.71766,0.63105,0.70879,0.53688,1.04136,0.97903,1.1053,7.86968e-05,7.86968e-05,7.86968e-05,0.5,5.0,0.0
16,67.3218,1.61635,1.94158,1.50581,0.72112,0.64821,0.71239,0.53815,1.04119,0.96819,1.10595,8.32396e-05,8.32396e-05,8.32396e-05,0.5,5.0,0.0
17,71.3159,1.39093,1.77884,1.38214,0.74262,0.64816,0.71809,0.54512,1.0364,0.95529,1.10349,8.76881e-05,8.76881e-05,8.76881e-05,0.5,5.0,0.0
18,75.1918,1.48904,1.91292,1.44621,0.75611,0.65874,0.72341,0.55048,1.02748,0.93696,1.10074,9.20425e-05,9.20425e-05,9.20425e-05,0.5,5.0,0.0
19,79.0994,1.38738,1.76107,1.39382,0.77317,0.66577,0.72724,0.55446,1.02007,0.92362,1.09678,9.63026e-05,9.63026e-05,9.63026e-05,0.5,5.0,0.0
20,82.9905,1.42779,1.71711,1.42073,0.7466,0.67285,0.73161,0.55815,1.00878,0.91179,1.09001,0.000100469,0.000100469,0.000100469,0.5,5.0,0.0
21,88.6926,1.50981,1.88778,1.4573,0.76685,0.65946,0.73778,0.56746,1.00033,0.90169,1.08486,0.000100158,0.000100158,0.000100158,0.5,4.765544,11.820885
22,94.269,1.49297,1.82266,1.4357,0.78878,0.64208,0.74728,0.57462,0.9947,0.89127,1.08135,9.92162e-05,9.92162e-05,9.92162e-05,0.5,4.74212,10.947263
23,99.8714,1.47065,1.7357,1.42799,0.80158,0.6448,0.7554,0.57585,0.98743,0.88316,1.07707,9.82742e-05,9.82742e-05,9.82742e-05,0.500393,4.717673,10.738446
24,105.541,1.5022,1.81685,1.46234,0.80731,0.64873,0.75792,0.57779,0.98399,0.87696,1.07354,9.73321e-05,9.73321e-05,9.73321e-05,0.500676,4.692221,10.701209
25,111.066,1.45137,1.71919,1.41996,0.79787,0.65614,0.75961,0.57982,0.98142,0.86729,1.07076,9.639e-05,9.639e-05,9.639e-05,0.501133,4.66578,10.389402
26,116.802,1.40915,1.70459,1.39528,0.76914,0.67985,0.76557,0.58129,0.98129,0.85886,1.06925,9.54479e-05,9.54479e-05,9.54479e-05,0.501395,4.638368,10.303644
27,122.641,1.51135,1.79337,1.44383,0.76481,0.68666,0.76873,0.58525,0.97965,0.85261,1.06906,9.45058e-05,9.45058e-05,9.45058e-05,0.501596,4.610005,10.165865
28,128.087,1.37763,1.65912,1.39244,0.77067,0.69048,0.77362,0.58852,0.97422,0.84391,1.06907,9.35638e-05,9.35638e-05,9.35638e-05,0.502076,4.58071,10.051701
29,133.895,1.46217,1.69568,1.41845,0.79309,0.68264,0.77414,0.58973,0.96972,0.8385,1.0692,9.26217e-05,9.26217e-05,9.26217e-05,0.502223,4.550503,9.912633
